ダウンロードした時刻：2022/07/04 13:35:53

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1880/1/1,12.5,8,1
1880/1/2,10.1,8,1
1880/1/3,12.9,8,1
1880/1/4,12.0,8,1
1880/1/5,10.6,8,1
1880/1/6,9.9,8,1
1880/1/7,8.7,8,1
1880/1/8,9.7,8,1
1880/1/9,7.2,8,1
1880/1/10,8.9,8,1
1880/1/11,11.7,8,1
1880/1/12,10.8,8,1
1880/1/13,9.6,8,1
1880/1/14,6.7,8,1
1880/1/15,8.9,8,1
1880/1/16,7.4,8,1
1880/1/17,8.1,8,1
1880/1/18,7.4,8,1
1880/1/19,4.8,8,1
1880/1/20,8.8,8,1
1880/1/21,3.4,8,1
1880/1/22,10.2,8,1
1880/1/23,5.9,8,1
1880/1/24,6.6,8,1
1880/1/25,7.0,8,1
1880/1/26,9.4,8,1
1880/1/27,8.2,8,1
1880/1/28,10.6,8,1
1880/1/29,8.6,8,1
1880/1/30,6.9,8,1
1880/1/31,7.9,8,1
1880/2/1,5.7,8,1
1880/2/2,12.4,8,1
1880/2/3,16.2,8,1
1880/2/4,7.4,8,1
1880/2/5,7.3,8,1
1880/2/6,4.8,8,1
1880/2/7,7.8,8,1
1880/2/8,7.4,8,1
1880/2/9,4.8,8,1
1880/2/10,12.2,8,1
1880/2/11,9.5,8,1
1880/2/12,9.3,8,1
1880/2/13,12.3,8,1
1880/2/14,14.0,8,1
1880/2/15,15.8,8,1
1880/2/16,16.8,8,1
1880/2/17,7.4,8,1
1880/2/18,10.2,8,1
1880/2/19,6.7,8,1
1880/2/20,12.8,8,1
1880/2/21,11.2,8,1
1880/2/22,7.9,8,1
1880/2/23,8.6,8,1
1880/2/24,8.4,8,1
1880/2/25,7.9,8,1
1880/2/26,10.9,8,1
1880/2/27,11.7,8,1
1880/2/28,19.2,8,1
1880/2/29,5.6,8,1
1880/3/1,8.2,8,1
1880/3/2,2.3,8,1
1880/3/3,7.4,8,1
1880/3/4,7.7,8,1
1880/3/5,8.7,8,1
1880/3/6,10.6,8,1
1880/3/7,13.4,8,1
1880/3/8,6.7,8,1
1880/3/9,12.2,8,1
1880/3/10,15.2,8,1
1880/3/11,14.8,8,1
1880/3/12,16.1,8,1
1880/3/13,16.1,8,1
1880/3/14,18.6,8,1
1880/3/15,17.4,8,1
1880/3/16,14.6,8,1
1880/3/17,21.6,8,1
1880/3/18,18.3,8,1
1880/3/19,18.4,8,1
1880/3/20,16.8,8,1
1880/3/21,12.3,8,1
1880/3/22,13.4,8,1
1880/3/23,14.8,8,1
1880/3/24,8.9,8,1
1880/3/25,14.3,8,1
1880/3/26,18.9,8,1
1880/3/27,19.1,8,1
1880/3/28,20.9,8,1
1880/3/29,15.1,8,1
1880/3/30,15.7,8,1
1880/3/31,8.9,8,1
1880/4/1,16.8,8,1
1880/4/2,14.5,8,1
1880/4/3,7.1,8,1
1880/4/4,12.0,8,1
1880/4/5,16.4,8,1
1880/4/6,11.1,8,1
1880/4/7,17.1,8,1
1880/4/8,18.9,8,1
1880/4/9,18.9,8,1
1880/4/10,21.1,8,1
1880/4/11,21.6,8,1
1880/4/12,12.2,8,1
1880/4/13,10.7,8,1
1880/4/14,15.8,8,1
1880/4/15,15.1,8,1
1880/4/16,13.6,8,1
1880/4/17,13.8,8,1
1880/4/18,16.1,8,1
1880/4/19,16.9,8,1
1880/4/20,18.5,8,1
1880/4/21,21.1,8,1
1880/4/22,19.4,8,1
1880/4/23,20.6,8,1
1880/4/24,23.5,8,1
1880/4/25,16.8,8,1
1880/4/26,16.8,8,1
1880/4/27,19.7,8,1
1880/4/28,23.7,8,1
1880/4/29,16.8,8,1
1880/4/30,13.0,8,1
1880/5/1,22.8,8,1
1880/5/2,22.3,8,1
1880/5/3,21.3,8,1
1880/5/4,18.9,8,1
1880/5/5,22.7,8,1
1880/5/6,22.3,8,1
1880/5/7,18.4,8,1
1880/5/8,18.5,8,1
1880/5/9,24.0,8,1
1880/5/10,17.8,8,1
1880/5/11,27.2,8,1
1880/5/12,22.3,8,1
1880/5/13,23.5,8,1
1880/5/14,21.7,8,1
1880/5/15,20.2,8,1
1880/5/16,16.2,8,1
1880/5/17,22.4,8,1
1880/5/18,24.9,8,1
1880/5/19,19.7,8,1
1880/5/20,25.1,8,1
1880/5/21,22.8,8,1
1880/5/22,18.9,8,1
1880/5/23,23.2,8,1
1880/5/24,24.9,8,1
1880/5/25,25.5,8,1
1880/5/26,27.9,8,1
1880/5/27,26.1,8,1
1880/5/28,25.6,8,1
1880/5/29,24.9,8,1
1880/5/30,26.7,8,1
1880/5/31,21.7,8,1
1880/6/1,16.8,8,1
1880/6/2,18.3,8,1
1880/6/3,21.2,8,1
1880/6/4,24.3,8,1
1880/6/5,25.7,8,1
1880/6/6,26.6,8,1
1880/6/7,26.5,8,1
1880/6/8,28.0,8,1
1880/6/9,25.1,8,1
1880/6/10,25.6,8,1
1880/6/11,20.4,8,1
1880/6/12,23.4,8,1
1880/6/13,26.2,8,1
1880/6/14,25.6,8,1
1880/6/15,26.8,8,1
1880/6/16,22.6,8,1
1880/6/17,25.7,8,1
1880/6/18,20.1,8,1
1880/6/19,23.1,8,1
1880/6/20,20.7,8,1
1880/6/21,18.9,8,1
1880/6/22,23.4,8,1
